_gat;1;.stackoverflow.com;/;Wed Nov 23 09:55:14 IST 2016;false
__qca;P0-610861355-1479874514723;.stackoverflow.com;/;Thu Dec 21 09:45:14 IST 2017;false
_ga;GA1.2.1947356341.1479874515;.stackoverflow.com;/;Fri Nov 23 09:45:14 IST 2018;false
prov;b237c0b0-77ff-dcde-d475-c4c163e0574d;.stackoverflow.com;/;Fri Jan 01 05:30:10 IST 2055;false
